label
Concept
Protein
Resource
Comp
Enzyme
Protcmplx
Reaction
EC
Transport
BioProc
MolFunc
CelComp
Path
Gene
ProtDomain
Trait
Publication
SNP
Phenotype
Accession
DataSource
EvidenceType
