label
Accession:Resource
BioProc:Concept:Resource
CelComp:Concept:Resource
Comp:Concept:Resource
Concept:EC:Resource
Concept:Enzyme:Resource
Concept:Gene:Resource
Concept:MolFunc:Resource
Concept:Path:Resource
Concept:Phenotype:Resource
Concept:ProtDomain:Resource
Concept:Protcmplx:Resource
Concept:Protein:Resource
Concept:Publication:Resource
Concept:Reaction:Resource
Concept:Resource:SNP
Concept:Resource:Trait
Concept:Resource:Transport
DataSource:Resource
EvidenceType:Resource
