relType
has_domain
xref
h_s_s
enc
evidence
dataSource
identifier
pub_in
is_a
relatedConcept
cat_c
participates_in
has_function
located_in
para
ortho
is_part_of
cs_by
pd_by
ac_by
in_by
physical
genetic
ca_by
part_of
equ
regulates
pos_reg
neg_reg
participates_not
not_function
not_located_in
has_variation
cooc_wi
has_observ_pheno
associated_with
