label
Concept
Resource
SNP
BioProc
CelComp
Phenotype
EC
Gene
MolFunc
ProtDomain
Protein
Reaction
PlantOntologyTerm
SNPEffect
CoExpStudy
Transport
Comp
Enzyme
Publication
Protcmplx
CoExpCluster
Path
Trait
Accession
DataSource
EvidenceType
