label
DataSource:Resource
Comp:Concept:Resource
Concept:Resource:Transport
Concept:MolFunc:Resource
Concept:EC:Resource
Concept:Enzyme:Resource
Concept:Path:Resource
BioProc:Concept:Resource
Concept:Protcmplx:Resource
Accession:Resource
CelComp:Concept:Resource
Concept:Publication:Resource
Concept:Reaction:Resource
EvidenceType:Resource
Concept:Protein:Resource
